Count,Name,Year,Price
458,Sovereign Rarities,"Scotland, Alexander III Penny, first coinage type III, Dun Mint, Walter",£998.00
459,Sovereign Rarities,"Scotland, Alexander III Penny, first coinage type VII, Perth Mint, John Cokin",£578.00
460,Sovereign Rarities,"Edward VII 1902 Two-Pounds, currency issue MS61, Coronation year","£2,100.00"
461,Sovereign Rarities,"Victoria 1893 Two-Pounds, old head, MS62","£3,938.00"
462,Sovereign Rarities,"Victoria 1887 Two-Pounds, Golden Jubilee issue, MS62","£2,363.00"
463,Arsantiqva,Italian Republic 5 LIRE Uva con data piccola 1946 MINT STATE (63/70) VERY RARE / coins for sale,"€2,100.00"
464,NB-Numismatics,Mexico 25 pesos 1968- Summer olympics 1968,US$35.00
465,NB-Numismatics,Spain Philip IV  VIII maravedis 1624,US$35.00
466,NB-Numismatics,France 10 francs 1965 - Hercules.,US$45.00
467,NB-Numismatics,France 10 francs 1972- Hercules,US$45.00
468,NB-Numismatics,St.Helena 25 pence 1973- Tercentenary 1673-1973,US$40.00
469,Midwest Numismatics,Haiti; 2 Centimes AN26 - 1829,US$4.99
470,Midwest Numismatics,Haiti; Bronze 2 Centimes 1894-A,US$8.00
471,Midwest Numismatics,Haiti; Centime 1895-A,US$10.00
472,Midwest Numismatics,Haiti - Empire; Copper Deux (2) Centimes 1850,US$25.00
473,Midwest Numismatics,Austro-Hungarian Empire; Kreuzer 1816-A  AU,US$25.00
474,Midwest Numismatics,Hungary; Silver 2 Korona 1912 KB,US$19.00
475,Midwest Numismatics,Germany; Silver 5 Reichsmark 1936-A,US$25.00
476,Midwest Numismatics,Germany; Silver 5 Reichsmark 1936-A,US$17.00
477,Midwest Numismatics,Germany; Silver 5 Reichsmark 1936-A,US$25.00
478,London Ancient Coins,DALMATIA Scutari (Skadar) Autonomous issues AE Follaro VERY RARE,£350.00
479,London Ancient Coins,"BALKANS, Serbia. Civic issues . Ulcinj (Dulcigno). 14th century. Æ Folar. Struck in the name of Tsar Stefan Uroš V, 1355-1371.",£100.00
480,London Ancient Coins,"BALKANS, Serbia. Civic issues . Ulcinj (Dulcigno). 14th century. Æ Folar. Struck in the name of Tsar Stefan Uroš V, 1355-1371.",£100.00
481,Coins to medals,1799 MoFM Mexico 8 Real - Carolus IIII - VF - Silver,US$183.12
482,Charles Davis,Sotheby's: Montagu Collection of British Medals,US$200.00
483,Pashiz Coins Ltd,"ABBASID: Temp al-Rashid, 786-809, AR dirham, Madinat al-Salam, AH171",£15.00
484,Pashiz Coins Ltd,"ABBASID: Temp al-Rashid, 786-809, AR dirham, Madinat al-Salam, AH170",£15.00
485,Pashiz Coins Ltd,"Abbasid: Temp Al-Mahdi,(AD 775-785). AR Dirham, Sa’id bin Da\’laj. Year 126.",£40.00
486,Pashiz Coins Ltd,"Abbasids: Temp of al-Rashid (AD 754-758) AR Dirham. Muqatil. Tabaristan mint, Year139",£75.00
487,Pashiz Coins Ltd,"Abbasid: Temp. Al-Rashid, (AD 786-809). Dirham Hani. Tabaristan, Year 137",£80.00
488,Germania Inferior Numismatics (GIN),"SILVER commemorative medal 1815 (issued 1816), awardmedal Amsterdam Chausseurs a Cheval during the 100 Days 1815 & battle of Waterloo",€795.00
489,NB-Numismatics,Italy Messina Manfredi BI denaro,US$40.00
490,Charles Davis,"Cox: The Tokens, Checks, Metallic Tickets, Passes and Tallies of Wales 1800 – 1993",US$40.00
491,Charles Davis,Le May. R. The Coinage of Siam,US$75.00
492,Charles Davis,Kulkarni: Archaic Coinage of Godavari Valley and the Deccan,US$80.00
493,NB-Numismatics,Islamic Abbasid Governors of Tabaristan anonymous 1/2 drachm,US$89.00
494,NB-Numismatics,Islamic Abbasid Governors of Tabaristan anonymous 1/2 drachm,US$89.00
495,NB-Numismatics,Islamic Arabia Zuray'ids Muhammad ibn Saba' gold dinar,US$799.00
496,NB-Numismatics,Italy Sicily  Guglielmo I gold tari no year,US$999.00
497,NB-Numismatics,Netherlands Friesland Graafschap Bruno III van Brunswijk AR denar,US$479.00
498,NB-Numismatics,Netherlands Friesland Hermann von Kalvelage AR denar,US$359.00
499,NB-Numismatics,Netherlands Utrecht Bisdom Bernold AR denar,US$359.00
500,NB-Numismatics,Netherlands Friesland Hermann von Kalvelage AR denar,US$359.00
501,NB-Numismatics,Netherlands Friesland Hermann von Kalvelage AR denar,US$359.00
502,Civitas Galleries,BRITISH NORTH BORNEO: 1903-H 2 1/2 Cents,US$17.00
503,Civitas Galleries,CANADA: 1919 George V Cent,US$27.00
504,Civitas Galleries,CANADA: 1915 George V Cent,US$27.00
505,Civitas Galleries,CANADA: 1912 George V Cent,US$20.00
506,Civitas Galleries,CANADA: 1903 Edward VII Cent,US$10.00
507,Civitas Galleries,CANADA: 1918 George V Cent,US$10.00
508,Civitas Galleries,CANADA: 1916 George V Cent,US$14.00
509,Civitas Galleries,CANADA: 1915 George V Cent,US$14.00
510,Germania Inferior Numismatics (GIN),TIME OF NAPOLEON AR 36mm SILVER medal 1815 A.D. Commemorating the Battle of Waterloo and the victors Blucher & Wellington,€375.00
