Count,Name,Year,Price
245,Pasargad Coins,"PERSIA, SAFAVID: Sultan Husayn, Silver Abbasi, Mint of Isfahan, AH 1132, STYLISH!",US$75.00
246,Forum Ancient Coins,Crusaders Principality of Antioch Tancred Regent 1101 - 1103 & 1104 -1112,US$93.00
247,NB-Numismatics,Islamic Anatolia and Al-Jazirah Zangids Qutb al-Din  Mawdud AE dirhem,US$139.00
248,NB-Numismatics,Islamic Anatolia and Al-Jazirah Artuqids Qutb al-Din II -Ghazi II AE dirhem,US$199.00
249,NB-Numismatics,Islamic Abbasid Governors of Tabaristan anonymous 1/2 drachm,US$89.00
250,Sovereign Rarities,"George I 1723 WCC Shilling, made from silver from the Welsh Copper Company","£2,363.00"
251,Sovereign Rarities,William IV 1835 Sovereign rare date MS62,"£7,875.00"
252,Sovereign Rarities,George IV 1825 Sovereign bare head MS62+,"£6,300.00"
253,Sovereign Rarities,"Scotland, James VI 1594 Thirty-Pence, seventh coinage",£289.00
254,Sovereign Rarities,"Scotland, Alexander III Penny, first coinage type III, Dun Mint, Walter",£998.00
255,Sovereign Rarities,"Scotland, Alexander III Penny, first coinage type VII, Perth Mint, John Cokin",£578.00
256,Sovereign Rarities,"Edward VII 1902 Two-Pounds, currency issue MS61, Coronation year","£2,100.00"
257,Sovereign Rarities,"Victoria 1893 Two-Pounds, old head, MS62","£3,938.00"
258,Sovereign Rarities,"Victoria 1887 Two-Pounds, Golden Jubilee issue, MS62","£2,363.00"
259,Arsantiqva,Italian Republic 5 LIRE Uva con data piccola 1946 MINT STATE (63/70) VERY RARE / coins for sale,"€2,100.00"
260,NB-Numismatics,Mexico 25 pesos 1968- Summer olympics 1968,US$35.00
261,NB-Numismatics,Spain Philip IV  VIII maravedis 1624,US$35.00
262,NB-Numismatics,France 10 francs 1965 - Hercules.,US$45.00
263,NB-Numismatics,France 10 francs 1972- Hercules,US$45.00
264,NB-Numismatics,St.Helena 25 pence 1973- Tercentenary 1673-1973,US$40.00
265,Midwest Numismatics,Haiti; 2 Centimes AN26 - 1829,US$4.99
266,Midwest Numismatics,Haiti; Bronze 2 Centimes 1894-A,US$8.00
267,Midwest Numismatics,Haiti; Centime 1895-A,US$10.00
268,Midwest Numismatics,Haiti - Empire; Copper Deux (2) Centimes 1850,US$25.00
269,Midwest Numismatics,Austro-Hungarian Empire; Kreuzer 1816-A  AU,US$25.00
270,Midwest Numismatics,Hungary; Silver 2 Korona 1912 KB,US$19.00
271,Midwest Numismatics,Germany; Silver 5 Reichsmark 1936-A,US$25.00
272,Midwest Numismatics,Germany; Silver 5 Reichsmark 1936-A,US$17.00
273,Midwest Numismatics,Germany; Silver 5 Reichsmark 1936-A,US$25.00
274,London Ancient Coins,DALMATIA Scutari (Skadar) Autonomous issues AE Follaro VERY RARE,£350.00
275,London Ancient Coins,"BALKANS, Serbia. Civic issues . Ulcinj (Dulcigno). 14th century. Æ Folar. Struck in the name of Tsar Stefan Uroš V, 1355-1371.",£100.00
276,London Ancient Coins,"BALKANS, Serbia. Civic issues . Ulcinj (Dulcigno). 14th century. Æ Folar. Struck in the name of Tsar Stefan Uroš V, 1355-1371.",£100.00
277,Coins to medals,1799 MoFM Mexico 8 Real - Carolus IIII - VF - Silver,US$183.12
278,Charles Davis,Sotheby's: Montagu Collection of British Medals,US$200.00
279,Pashiz Coins Ltd,"ABBASID: Temp al-Rashid, 786-809, AR dirham, Madinat al-Salam, AH171",£15.00
280,Pashiz Coins Ltd,"ABBASID: Temp al-Rashid, 786-809, AR dirham, Madinat al-Salam, AH170",£15.00
281,Pashiz Coins Ltd,"Abbasid: Temp Al-Mahdi,(AD 775-785). AR Dirham, Sa’id bin Da\’laj. Year 126.",£40.00
282,Pashiz Coins Ltd,"Abbasids: Temp of al-Rashid (AD 754-758) AR Dirham. Muqatil. Tabaristan mint, Year139",£75.00
283,Pashiz Coins Ltd,"Abbasid: Temp. Al-Rashid, (AD 786-809). Dirham Hani. Tabaristan, Year 137",£80.00
284,Germania Inferior Numismatics (GIN),"SILVER commemorative medal 1815 (issued 1816), awardmedal Amsterdam Chausseurs a Cheval during the 100 Days 1815 & battle of Waterloo",€795.00
285,NB-Numismatics,Italy Messina Manfredi BI denaro,US$40.00
286,Charles Davis,"Cox: The Tokens, Checks, Metallic Tickets, Passes and Tallies of Wales 1800 – 1993",US$40.00
287,Charles Davis,Le May. R. The Coinage of Siam,US$75.00
288,Charles Davis,Kulkarni: Archaic Coinage of Godavari Valley and the Deccan,US$80.00
289,NB-Numismatics,Islamic Abbasid Governors of Tabaristan anonymous 1/2 drachm,US$89.00
290,NB-Numismatics,Islamic Abbasid Governors of Tabaristan anonymous 1/2 drachm,US$89.00
291,NB-Numismatics,Islamic Arabia Zuray'ids Muhammad ibn Saba' gold dinar,US$799.00
292,NB-Numismatics,Italy Sicily  Guglielmo I gold tari no year,US$999.00
293,NB-Numismatics,Netherlands Friesland Graafschap Bruno III van Brunswijk AR denar,US$479.00
294,NB-Numismatics,Netherlands Friesland Hermann von Kalvelage AR denar,US$359.00
295,NB-Numismatics,Netherlands Utrecht Bisdom Bernold AR denar,US$359.00
296,NB-Numismatics,Netherlands Friesland Hermann von Kalvelage AR denar,US$359.00
297,NB-Numismatics,Netherlands Friesland Hermann von Kalvelage AR denar,US$359.00
298,Civitas Galleries,BRITISH NORTH BORNEO: 1903-H 2 1/2 Cents,US$17.00
299,Civitas Galleries,CANADA: 1919 George V Cent,US$27.00
300,Civitas Galleries,CANADA: 1915 George V Cent,US$27.00
301,Civitas Galleries,CANADA: 1912 George V Cent,US$20.00
302,Civitas Galleries,CANADA: 1903 Edward VII Cent,US$10.00
303,Civitas Galleries,CANADA: 1918 George V Cent,US$10.00
